Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Category,Outlet_Years,Price_Per_Unit_Weight,Item_MRP_Clusters
DRC12,17.85,Low Fat,0.037826873,Soft Drinks,189.7188,OUT046,1997,Small,Tier 1,Supermarket Type1,2285.0256,DR,22,10.62850420168067,3rd
FDX49,4.615,Regular,0.101747034,Canned,231.33,OUT013,1987,High,Tier 3,Supermarket Type1,4660.6,FD,32,50.12567713976165,4th
FDJ09,15.0,Low Fat,0.07048184085069402,Snack Foods,47.2744,OUT035,2004,Small,Tier 2,Supermarket Type1,679.116,FD,15,3.1516266666666666,1st
FDN23,12.857645184135976,Regular,0.075142108,Breads,145.8444,OUT027,1985,Medium,Tier 3,Supermarket Type3,3773.7544,FD,34,11.343010163318691,3rd
DRD01,12.1,Regular,0.061424738,Soft Drinks,56.7614,OUT018,2009,Medium,Tier 3,Supermarket Type2,1049.9666,DR,10,4.69102479338843,1st
FDS43,11.65,Low Fat,0.040597054,Fruits and Vegetables,187.324,OUT045,2002,Small,Tier 2,Supermarket Type1,1864.24,FD,17,16.07931330472103,3rd
FDY48,12.857645184135976,Low Fat,0.041556697,Baking Goods,104.4332,OUT019,1985,Small,Tier 1,Grocery Store,307.5996,FD,34,8.122264886330182,2nd
FDU12,15.5,Regular,0.126791761,Baking Goods,262.1568,OUT010,1998,Small,Tier 3,Grocery Store,527.3136,FD,21,16.91334193548387,4th
FDX33,9.195,Regular,0.117484834,Snack Foods,158.5578,OUT046,1997,Small,Tier 1,Supermarket Type1,2406.867,FD,22,17.24391517128874,3rd
FDH45,15.1,Regular,0.106097275,Fruits and Vegetables,43.2796,OUT018,2009,Medium,Tier 3,Supermarket Type2,123.8388,FD,10,2.866198675496689,1st
FDJ10,5.095,Regular,0.129395895,Snack Foods,140.3838,OUT013,1987,High,Tier 3,Supermarket Type1,1826.2894,FD,32,27.553248282630033,3rd
FDX32,15.1,Regular,0.100265027,Fruits and Vegetables,142.5786,OUT018,2009,Medium,Tier 3,Supermarket Type2,3323.0078,FD,10,9.442291390728476,3rd
DRG51,12.1,Low Fat,0.011557563,Dairy,165.3526,OUT049,1999,Medium,Tier 1,Supermarket Type1,3453.5046,DR,20,13.665504132231405,3rd
NCB31,6.235,Non Edible,0.119157788,Household,263.791,OUT018,2009,Medium,Tier 3,Supermarket Type2,2103.928,NC,10,42.30809943865276,4th
FDW47,15.0,Low Fat,0.077622622,Breads,121.8414,OUT010,1998,Small,Tier 3,Grocery Store,243.6828,FD,21,8.12276,2nd
FDT20,12.857645184135976,Low Fat,0.041194986,Fruits and Vegetables,39.1164,OUT027,1985,Medium,Tier 3,Supermarket Type3,1235.7248,FD,34,3.0422678056369614,1st
FDI34,10.65,Regular,0.085135953,Snack Foods,232.3668,OUT046,1997,Small,Tier 1,Supermarket Type1,3685.8688,FD,22,21.818478873239435,4th
FDH56,9.8,Regular,0.106816919,Fruits and Vegetables,114.2492,OUT010,1998,Small,Tier 3,Grocery Store,463.3968,FD,21,11.65808163265306,2nd
DRJ47,18.25,Low Fat,0.04421348,Hard Drinks,173.408,OUT013,1987,High,Tier 3,Supermarket Type1,1038.648,DR,32,9.50180821917808,3rd
FDP04,12.857645184135976,Low Fat,0.013745883,Frozen Foods,62.0168,OUT027,1985,Medium,Tier 3,Supermarket Type3,1534.0032,FD,34,4.823340441569938,1st
NCZ06,19.6,Non Edible,0.094308058,Household,251.8698,OUT049,1999,Medium,Tier 1,Supermarket Type1,3551.3772,NC,20,12.850499999999998,4th
FDY37,17.0,Regular,0.026622757,Canned,144.247,OUT045,2002,Small,Tier 2,Supermarket Type1,3149.234,FD,17,8.485117647058825,3rd
FDO46,9.6,Regular,0.014234595,Snack Foods,190.2872,OUT049,1999,Medium,Tier 1,Supermarket Type1,4727.18,FD,20,19.821583333333336,3rd
FDI10,8.51,Regular,0.078526225,Snack Foods,173.5422,OUT049,1999,Medium,Tier 1,Supermarket Type1,5000.8238,FD,20,20.392737955346654,3rd
NCT42,5.88,Non Edible,0.0249887,Household,150.3392,OUT018,2009,Medium,Tier 3,Supermarket Type2,447.4176,NC,10,25.567891156462586,3rd
FDE29,8.905,Low Fat,0.143712172,Frozen Foods,60.2878,OUT018,2009,Medium,Tier 3,Supermarket Type2,1151.1682,FD,10,6.770106681639528,1st
FDQ11,12.857645184135976,Regular,0.067373081,Breads,258.8988,OUT027,1985,Medium,Tier 3,Supermarket Type3,3083.9856,FD,34,20.135786630621492,4th
FDS20,8.85,Low Fat,0.053822086,Fruits and Vegetables,183.8292,OUT013,1987,High,Tier 3,Supermarket Type1,2554.0088,FD,32,20.771661016949153,3rd
FDR26,20.7,Low Fat,0.043011277,Dairy,177.2028,OUT018,2009,Medium,Tier 3,Supermarket Type2,3364.9532,FD,10,8.560521739130435,3rd
NCH43,12.857645184135976,Non Edible,0.123557061,Household,216.6192,OUT019,1985,Small,Tier 1,Grocery Store,215.7192,NC,34,16.847501770173995,4th
FDO25,6.3,Low Fat,0.127968205,Canned,209.627,OUT018,2009,Medium,Tier 3,Supermarket Type2,3984.813,FD,10,33.27412698412699,4th
FDB40,17.5,Regular,0.007570599,Dairy,144.6102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2187.153,FD,10,8.26344,3rd
FDB14,12.857645184135976,Regular,0.07048184085069402,Canned,92.312,OUT019,1985,Small,Tier 1,Grocery Store,372.848,FD,34,7.179541718408626,2nd
FDW23,5.765,Low Fat,0.081996785,Baking Goods,40.1164,OUT035,2004,Small,Tier 2,Supermarket Type1,540.6296,FD,15,6.958612315698179,1st
FDZ23,17.75,Regular,0.067777778,Baking Goods,186.924,OUT018,2009,Medium,Tier 3,Supermarket Type2,3169.208,FD,10,10.53092957746479,3rd
FDX35,5.035,Regular,0.080362549,Breads,229.0036,OUT017,2007,Small,Tier 2,Supermarket Type1,4326.3684,FD,12,45.482343594836145,4th
FDX24,8.355,Low Fat,0.013929059,Baking Goods,94.1462,OUT046,1997,Small,Tier 1,Supermarket Type1,2221.1088,FD,22,11.268246558946737,2nd
DRG15,6.13,Low Fat,0.077169953,Dairy,63.0536,OUT017,2007,Small,Tier 2,Supermarket Type1,1225.072,DR,12,10.286068515497554,1st
FDY60,10.5,Regular,0.07048184085069402,Baking Goods,143.3128,OUT046,1997,Small,Tier 1,Supermarket Type1,1438.128,FD,22,13.648838095238096,3rd
FDK02,12.5,Low Fat,0.112681821,Canned,119.144,OUT018,2009,Medium,Tier 3,Supermarket Type2,3235.788,FD,10,9.53152,2nd
FDK24,12.857645184135976,Low Fat,0.10080442,Baking Goods,45.4744,OUT027,1985,Medium,Tier 3,Supermarket Type3,1041.3112,FD,34,3.5367595970144863,1st
NCA05,20.75,Non Edible,0.02512588,Health and Hygiene,150.4734,OUT035,2004,Small,Tier 2,Supermarket Type1,890.8404,NC,15,7.251730120481928,3rd
FDN33,12.857645184135976,Regular,0.122519571,Snack Foods,93.0436,OUT027,1985,Medium,Tier 3,Supermarket Type3,2363.59,FD,34,7.236441717554866,2nd
FDA09,13.35,Regular,0.15021128,Snack Foods,179.066,OUT017,2007,Small,Tier 2,Supermarket Type1,2696.49,FD,12,13.413183520599251,3rd
FDK50,7.96,Low Fat,0.028357839,Canned,163.2894,OUT035,2004,Small,Tier 2,Supermarket Type1,4530.1032,FD,15,20.513743718592966,3rd
NCE55,8.92,Non Edible,0.130663423,Household,175.237,OUT017,2007,Small,Tier 2,Supermarket Type1,2117.244,NC,12,19.645403587443944,3rd
FDG12,6.635,Regular,0.006335942,Baking Goods,121.8098,OUT049,1999,Medium,Tier 1,Supermarket Type1,2048.6666,FD,20,18.358673700075357,2nd
FDC37,15.5,Low Fat,0.032845997,Baking Goods,106.7938,OUT013,1987,High,Tier 3,Supermarket Type1,3215.814,FD,32,6.889922580645162,2nd
DRG15,6.13,Low Fat,0.076735903,Dairy,62.4536,OUT046,1997,Small,Tier 1,Supermarket Type1,1225.072,DR,22,10.188189233278957,1st
FDQ58,7.315,Low Fat,0.01530184,Snack Foods,154.434,OUT046,1997,Small,Tier 1,Supermarket Type1,1378.206,FD,22,21.111961722488036,3rd
FDQ51,16.0,Regular,0.029377239,Meat,46.1718,OUT010,1998,Small,Tier 3,Grocery Store,94.5436,FD,21,2.8857375,1st
FDR46,16.85,Low Fat,0.233356571,Snack Foods,146.576,OUT010,1998,Small,Tier 3,Grocery Store,439.428,FD,21,8.698872403560829,3rd
FDC50,15.85,Low Fat,0.137053947,Canned,94.4094,OUT018,2009,Medium,Tier 3,Supermarket Type2,1047.3034,FD,10,5.95642902208202,2nd
FDJ09,15.0,Low Fat,0.07048184085069402,Snack Foods,43.4744,OUT046,1997,Small,Tier 1,Supermarket Type1,543.2928,FD,22,2.8982933333333336,1st
NCC18,19.1,Non Edible,0.177236497,Household,172.3422,OUT035,2004,Small,Tier 2,Supermarket Type1,2586.633,NC,15,9.023151832460732,3rd
FDL04,19.0,Low Fat,0.111830282,Frozen Foods,105.4622,OUT013,1987,High,Tier 3,Supermarket Type1,952.7598,FD,32,5.550642105263158,2nd
FDH48,13.5,Low Fat,0.07048184085069402,Baking Goods,84.654,OUT049,1999,Medium,Tier 1,Supermarket Type1,1211.756,FD,20,6.270666666666666,2nd
FDD38,16.75,Regular,0.008204465,Canned,99.8674,OUT049,1999,Medium,Tier 1,Supermarket Type1,2342.9502,FD,20,5.962232835820895,2nd
FDT47,12.857645184135976,Regular,0.02439015,Breads,95.9068,OUT027,1985,Medium,Tier 3,Supermarket Type3,3207.8244,FD,34,7.4591263506269225,2nd
FDE41,9.195,Regular,0.064143995,Frozen Foods,85.9566,OUT045,2002,Small,Tier 2,Supermarket Type1,1691.132,FD,17,9.348189233278955,2nd
FDH19,19.35,Low Fat,0.033275634,Meat,173.8738,OUT017,2007,Small,Tier 2,Supermarket Type1,2432.8332,FD,12,8.985726098191213,3rd
FDW26,11.8,Regular,0.107662745,Dairy,224.1772,OUT017,2007,Small,Tier 2,Supermarket Type1,2890.9036,FD,12,18.99806779661017,4th
FDW35,10.6,Low Fat,0.01115195,Breads,40.6454,OUT017,2007,Small,Tier 2,Supermarket Type1,167.7816,FD,12,3.834471698113208,1st
FDQ55,13.65,Regular,0.013064516,Fruits and Vegetables,115.5834,OUT045,2002,Small,Tier 2,Supermarket Type1,1382.2008,FD,17,8.467648351648352,2nd
FDV22,14.85,Regular,0.009954237,Snack Foods,158.263,OUT049,1999,Medium,Tier 1,Supermarket Type1,2659.871,FD,20,10.657441077441078,3rd
NCN29,12.857645184135976,Non Edible,0.021214364,Health and Hygiene,48.2034,OUT019,1985,Small,Tier 1,Grocery Store,97.2068,NC,34,3.749006860095528,1st
FDQ26,13.5,Regular,0.067859568,Dairy,60.1562,OUT035,2004,Small,Tier 2,Supermarket Type1,1599.9174,FD,15,4.456014814814814,1st
FDV24,5.635,Low Fat,0.103481775,Baking Goods,150.005,OUT045,2002,Small,Tier 2,Supermarket Type1,1797.66,FD,17,26.62023070097604,3rd
FDG50,7.405,Low Fat,0.015358176,Canned,92.4146,OUT017,2007,Small,Tier 2,Supermarket Type1,1459.4336,FD,12,12.480027008777851,2nd
NCF42,12.857645184135976,Non Edible,0.293066133,Household,177.0712,OUT019,1985,Small,Tier 1,Grocery Store,351.5424,NC,34,13.771666387129274,3rd
FDT46,11.35,Low Fat,0.030981392,Snack Foods,51.9008,OUT017,2007,Small,Tier 2,Supermarket Type1,708.4112,FD,12,4.572757709251102,1st
DRE49,12.857645184135976,Low Fat,0.07048184085069402,Soft Drinks,153.8024,OUT027,1985,Medium,Tier 3,Supermarket Type3,7741.9224,DR,34,11.961941537301444,3rd
FDV56,16.1,Regular,0.013623294,Fruits and Vegetables,109.3596,OUT045,2002,Small,Tier 2,Supermarket Type1,1186.4556,FD,17,6.792521739130434,2nd
FDD32,17.7,Regular,0.041098734,Fruits and Vegetables,80.9276,OUT018,2009,Medium,Tier 3,Supermarket Type2,487.3656,FD,10,4.572180790960452,2nd
NCN19,13.1,Non Edible,0.01209726,Others,188.853,OUT035,2004,Small,Tier 2,Supermarket Type1,3225.801,NC,15,14.416259541984735,3rd
FDQ48,14.3,Regular,0.034382602,Baking Goods,96.5726,OUT013,1987,High,Tier 3,Supermarket Type1,2251.0698,FD,32,6.753328671328671,2nd
FDW34,12.857645184135976,Low Fat,0.035406842,Snack Foods,244.317,OUT027,1985,Medium,Tier 3,Supermarket Type3,8262.578,FD,34,19.001690939600923,4th
NCS38,8.6,Non Edible,0.090374342,Household,114.3176,OUT045,2002,Small,Tier 2,Supermarket Type1,1946.7992,NC,17,13.292744186046512,2nd
FDL58,5.78,Regular,0.074451126,Snack Foods,264.5568,OUT018,2009,Medium,Tier 3,Supermarket Type2,6327.7632,FD,10,45.77107266435986,4th
FDY59,8.195,Low Fat,0.031467128,Baking Goods,91.8462,OUT045,2002,Small,Tier 2,Supermarket Type1,2313.655,FD,17,11.207589993898718,2nd
FDZ03,13.65,Regular,0.078786674,Dairy,184.824,OUT046,1997,Small,Tier 1,Supermarket Type1,3355.632,FD,22,13.54021978021978,3rd
FDP60,17.35,Low Fat,0.056032247,Baking Goods,102.3016,OUT045,2002,Small,Tier 2,Supermarket Type1,1619.2256,FD,17,5.896345821325648,2nd
NCI30,20.25,Non Edible,0.058935522,Household,246.646,OUT046,1997,Small,Tier 1,Supermarket Type1,2463.46,NC,22,12.18004938271605,4th
FDO03,12.857645184135976,Regular,0.064577332,Meat,230.5352,OUT019,1985,Small,Tier 1,Grocery Store,687.1056,FD,34,17.929815039882968,4th
FDZ20,16.1,Low Fat,0.034306962,Fruits and Vegetables,252.3356,OUT046,1997,Small,Tier 1,Supermarket Type1,3815.034,FD,22,15.673018633540371,4th
FDQ31,12.857645184135976,Regular,0.053586458,Fruits and Vegetables,89.7856,OUT027,1985,Medium,Tier 3,Supermarket Type3,966.7416,FD,34,6.983051617474971,2nd
FDY03,17.6,Regular,0.076431919,Meat,113.2202,OUT018,2009,Medium,Tier 3,Supermarket Type2,2025.3636,FD,10,6.432965909090909,2nd
FDW45,18.0,Low Fat,0.039090105,Snack Foods,148.4418,OUT045,2002,Small,Tier 2,Supermarket Type1,4119.9704,FD,17,8.246766666666666,3rd
NCO41,12.5,Non Edible,0.031549131,Health and Hygiene,99.0384,OUT010,1998,Small,Tier 3,Grocery Store,197.0768,NC,21,7.9230719999999994,2nd
FDK16,9.065,Low Fat,0.115233813,Frozen Foods,94.4094,OUT013,1987,High,Tier 3,Supermarket Type1,2856.282,FD,32,10.414715940430227,2nd
FDZ16,16.85,Regular,0.159825617,Frozen Foods,195.5478,OUT035,2004,Small,Tier 2,Supermarket Type1,4262.4516,FD,15,11.605210682492581,3rd
NCD18,16.0,Non Edible,0.073080167,Household,228.4668,OUT017,2007,Small,Tier 2,Supermarket Type1,2534.0348,NC,12,14.279175,4th
FDF52,9.3,Low Fat,0.066727717,Frozen Foods,181.6292,OUT013,1987,High,Tier 3,Supermarket Type1,2371.5796,FD,32,19.530021505376343,3rd
FDF09,6.215,Low Fat,0.012146608,Fruits and Vegetables,37.9848,OUT035,2004,Small,Tier 2,Supermarket Type1,782.9808,FD,15,6.111794046661303,1st
FDW43,20.1,Regular,0.022552083,Fruits and Vegetables,226.6036,OUT017,2007,Small,Tier 2,Supermarket Type1,6831.108,FD,12,11.273810945273631,4th
FDU19,8.77,Regular,0.047036036,Fruits and Vegetables,170.5422,OUT017,2007,Small,Tier 2,Supermarket Type1,2759.0752,FD,12,19.446088939566707,3rd
FDA50,16.25,Low Fat,0.087158654,Dairy,95.141,OUT035,2004,Small,Tier 2,Supermarket Type1,2220.443,FD,15,5.8548307692307695,2nd
FDS48,15.15,Low Fat,0.027756137,Baking Goods,150.4708,OUT013,1987,High,Tier 3,Supermarket Type1,2106.5912,FD,32,9.93206600660066,3rd
NCH07,13.15,Non Edible,0.092589917,Household,159.5604,OUT013,1987,High,Tier 3,Supermarket Type1,1901.5248,NC,32,12.133870722433459,3rd
NCK54,12.15,Non Edible,0.07048184085069402,Household,117.615,OUT013,1987,High,Tier 3,Supermarket Type1,1514.695,NC,32,9.680246913580246,2nd
FDD53,12.857645184135976,Low Fat,0.077427883,Frozen Foods,41.8454,OUT019,1985,Small,Tier 1,Grocery Store,41.9454,FD,34,3.2545150687180033,1st
FDV58,20.85,Low Fat,0.121227447,Snack Foods,197.5452,OUT035,2004,Small,Tier 2,Supermarket Type1,4306.3944,FD,15,9.474589928057553,3rd
FDI08,18.2,Regular,0.066284519,Fruits and Vegetables,247.2092,OUT035,2004,Small,Tier 2,Supermarket Type1,3486.1288,FD,15,13.582923076923079,4th
FDD08,8.3,Low Fat,0.03549838,Fruits and Vegetables,36.6506,OUT018,2009,Medium,Tier 3,Supermarket Type2,455.4072,FD,10,4.4157349397590355,1st
FDX34,6.195,Low Fat,0.072131519,Snack Foods,120.1098,OUT045,2002,Small,Tier 2,Supermarket Type1,2892.2352,FD,17,19.38818401937046,2nd
FDX55,15.1,Low Fat,0.07048184085069402,Fruits and Vegetables,216.4166,OUT045,2002,Small,Tier 2,Supermarket Type1,2830.3158,FD,17,14.332225165562914,4th
NCS05,11.5,Non Edible,0.021020616,Health and Hygiene,130.7942,OUT045,2002,Small,Tier 2,Supermarket Type1,2782.3782,NC,17,11.373408695652174,2nd
FDL04,19.0,Low Fat,0.111902259,Frozen Foods,105.4622,OUT035,2004,Small,Tier 2,Supermarket Type1,1905.5196,FD,15,5.550642105263158,2nd
FDJ53,10.5,Low Fat,0.071548187,Frozen Foods,120.2098,OUT018,2009,Medium,Tier 3,Supermarket Type2,602.549,FD,10,11.448552380952382,2nd
FDB47,8.8,Low Fat,0.071540443,Snack Foods,210.6612,OUT049,1999,Medium,Tier 1,Supermarket Type1,2508.7344,FD,20,23.938772727272728,4th
NCS29,12.857645184135976,Non Edible,0.121765124,Health and Hygiene,264.1884,OUT019,1985,Small,Tier 1,Grocery Store,264.9884,NC,34,20.547183890714376,4th
FDB33,17.75,Low Fat,0.014609738,Fruits and Vegetables,160.4262,OUT045,2002,Small,Tier 2,Supermarket Type1,3182.524,FD,17,9.038095774647887,3rd
FDL52,12.857645184135976,Regular,0.080697998,Frozen Foods,39.8506,OUT019,1985,Small,Tier 1,Grocery Store,37.9506,FD,34,3.0993700191049354,1st
FDB03,17.75,Regular,0.156802171,Dairy,242.1538,OUT035,2004,Small,Tier 2,Supermarket Type1,4326.3684,FD,15,13.642467605633803,4th
FDW20,20.75,Low Fat,0.024144862,Fruits and Vegetables,123.373,OUT035,2004,Small,Tier 2,Supermarket Type1,2093.941,FD,15,5.945686746987952,2nd
FDT10,16.7,Regular,0.062297249,Snack Foods,60.6562,OUT018,2009,Medium,Tier 3,Supermarket Type2,592.562,FD,10,3.632107784431138,1st
FDK04,12.857645184135976,Low Fat,0.052058711,Frozen Foods,55.5588,OUT027,1985,Medium,Tier 3,Supermarket Type3,1145.176,FD,34,4.321071176279586,1st
NCL07,13.85,Non Edible,0.031402114,Others,40.248,OUT045,2002,Small,Tier 2,Supermarket Type1,319.584,NC,17,2.9059927797833933,1st
FDZ31,15.35,Regular,0.113217223,Fruits and Vegetables,191.1504,OUT046,1997,Small,Tier 1,Supermarket Type1,1725.7536,FD,22,12.452794788273616,3rd
FDE45,12.1,Low Fat,0.07048184085069402,Fruits and Vegetables,177.3002,OUT035,2004,Small,Tier 2,Supermarket Type1,3044.7034,FD,15,14.652909090909091,3rd
NCK54,12.15,Non Edible,0.07048184085069402,Household,118.515,OUT018,2009,Medium,Tier 3,Supermarket Type2,1398.18,NC,10,9.75432098765432,2nd
DRE15,12.857645184135976,Low Fat,0.031139933,Dairy,74.8012,OUT019,1985,Small,Tier 1,Grocery Store,303.6048,DR,34,5.81764381648136,2nd
NCQ38,16.35,Non Edible,0.013363902,Others,106.128,OUT035,2004,Small,Tier 2,Supermarket Type1,1917.504,NC,15,6.491009174311926,2nd
FDB08,12.857645184135976,Low Fat,0.030952737,Fruits and Vegetables,160.1578,OUT027,1985,Medium,Tier 3,Supermarket Type3,3048.6982,FD,34,12.456231114357236,3rd
DRF49,7.27,Low Fat,0.07136748,Soft Drinks,111.8518,OUT018,2009,Medium,Tier 3,Supermarket Type2,2277.036,DR,10,15.385392022008254,2nd
DRC27,13.8,Low Fat,0.058192802,Dairy,246.9802,OUT049,1999,Medium,Tier 1,Supermarket Type1,5896.3248,DR,20,17.897115942028986,4th
FDB37,20.25,Regular,0.022976493,Baking Goods,240.3538,OUT049,1999,Medium,Tier 1,Supermarket Type1,4086.0146,FD,20,11.869323456790124,4th
FDS35,9.3,Low Fat,0.111220521,Breads,65.7826,OUT046,1997,Small,Tier 1,Supermarket Type1,968.739,FD,22,7.073397849462365,1st
FDE47,14.15,Low Fat,0.037967687,Starchy Foods,125.6046,OUT049,1999,Medium,Tier 1,Supermarket Type1,1618.5598,FD,20,8.876650176678446,2nd
NCT53,12.857645184135976,Non Edible,0.07048184085069402,Health and Hygiene,164.5526,OUT027,1985,Medium,Tier 3,Supermarket Type3,2302.3364,NC,34,12.798035537878146,3rd
FDL14,8.115,Regular,0.032158866,Canned,154.8972,OUT046,1997,Small,Tier 1,Supermarket Type1,1713.7692,FD,22,19.087763401109058,3rd
FDP21,12.857645184135976,Regular,0.045068892,Snack Foods,190.8872,OUT019,1985,Small,Tier 1,Grocery Store,945.436,FD,34,14.846202182925419,3rd
NCV54,11.1,Non Edible,0.033176087,Household,120.1124,OUT045,2002,Small,Tier 2,Supermarket Type1,1896.1984,NC,17,10.820936936936937,2nd
NCO41,12.5,Non Edible,0.018845298,Health and Hygiene,96.7384,OUT035,2004,Small,Tier 2,Supermarket Type1,2759.0752,NC,15,7.739072,2nd
FDQ59,9.8,Regular,0.056375879,Breads,84.6908,OUT035,2004,Small,Tier 2,Supermarket Type1,1006.6896,FD,15,8.641918367346937,2nd
FDQ01,19.7,Regular,0.161356273,Canned,253.1014,OUT018,2009,Medium,Tier 3,Supermarket Type2,2805.0154,FD,10,12.847786802030457,4th
FDQ48,14.3,Regular,0.034605882,Baking Goods,95.9726,OUT017,2007,Small,Tier 2,Supermarket Type1,2153.1972,FD,12,6.711370629370629,2nd
FDP09,19.75,Low Fat,0.033942546,Snack Foods,213.5902,OUT049,1999,Medium,Tier 1,Supermarket Type1,4460.1942,FD,20,10.814693670886076,4th
FDK55,18.5,Low Fat,0.025740259,Meat,89.4172,OUT013,1987,High,Tier 3,Supermarket Type1,1605.9096,FD,32,4.833362162162162,2nd
NCJ43,12.857645184135976,Non Edible,0.026938317,Household,174.1396,OUT027,1985,Medium,Tier 3,Supermarket Type3,4012.1108,NC,34,13.543661961900845,3rd
FDI07,12.35,Regular,0.033754478,Meat,199.0426,OUT035,2004,Small,Tier 2,Supermarket Type1,3361.6242,FD,15,16.11680971659919,3rd
NCW41,12.857645184135976,Non Edible,0.015375557,Health and Hygiene,156.9604,OUT027,1985,Medium,Tier 3,Supermarket Type3,4278.4308,NC,34,12.207554163468512,3rd
FDG33,5.365,Regular,0.140458316,Seafood,169.7764,OUT049,1999,Medium,Tier 1,Supermarket Type1,3263.7516,FD,20,31.645181733457594,3rd
NCO05,12.857645184135976,Non Edible,0.046333982,Health and Hygiene,97.2384,OUT027,1985,Medium,Tier 3,Supermarket Type3,2660.5368,NC,34,7.562691193250123,2nd
FDH53,20.5,Regular,0.07048184085069402,Frozen Foods,82.8592,OUT035,2004,Small,Tier 2,Supermarket Type1,908.1512,FD,15,4.041912195121951,2nd
FDR49,8.71,Low Fat,0.139228412,Canned,49.5376,OUT046,1997,Small,Tier 1,Supermarket Type1,1198.44,FD,22,5.687439724454649,1st
FDF33,12.857645184135976,Low Fat,0.07048184085069402,Seafood,109.4596,OUT027,1985,Medium,Tier 3,Supermarket Type3,1833.6132,FD,34,8.513191835084505,2nd
FDQ51,16.0,Regular,0.07048184085069402,Meat,48.1718,OUT017,2007,Small,Tier 2,Supermarket Type1,756.3488,FD,12,3.0107375,1st
FDZ38,17.6,Low Fat,0.00799436,Dairy,171.6422,OUT013,1987,High,Tier 3,Supermarket Type1,3793.7284,FD,32,9.752397727272726,3rd
FDV52,20.7,Regular,0.121767168,Frozen Foods,118.9466,OUT045,2002,Small,Tier 2,Supermarket Type1,353.5398,FD,17,5.746212560386474,2nd
FDM50,13.0,Regular,0.030083482,Canned,61.922,OUT035,2004,Small,Tier 2,Supermarket Type1,1557.972,FD,15,4.763230769230769,1st
FDV60,20.2,Regular,0.118025091,Baking Goods,195.811,OUT017,2007,Small,Tier 2,Supermarket Type1,2553.343,FD,12,9.693613861386138,3rd
FDG60,20.35,Low Fat,0.060649213,Baking Goods,232.7616,OUT013,1987,High,Tier 3,Supermarket Type1,2812.3392,FD,32,11.43791646191646,4th
FDN13,18.6,Low Fat,0.151931742,Breakfast,101.1358,OUT013,1987,High,Tier 3,Supermarket Type1,1105.8938,FD,32,5.437408602150537,2nd
DRN59,12.857645184135976,Low Fat,0.063831013,Hard Drinks,46.206,OUT027,1985,Medium,Tier 3,Supermarket Type3,1304.968,DR,34,3.5936595961607267,1st
FDU02,13.35,Low Fat,0.103091351,Dairy,229.9352,OUT017,2007,Small,Tier 2,Supermarket Type1,2519.3872,FD,12,17.22361048689139,4th
FDZ58,17.85,Low Fat,0.052389407,Snack Foods,120.9072,OUT018,2009,Medium,Tier 3,Supermarket Type2,2817.6656,FD,10,6.773512605042017,2nd
NCQ38,16.35,Non Edible,0.013355306,Others,105.528,OUT013,1987,High,Tier 3,Supermarket Type1,2024.032,NC,32,6.454311926605504,2nd
FDF39,14.85,Regular,0.019550858,Dairy,263.791,OUT045,2002,Small,Tier 2,Supermarket Type1,4207.856,FD,17,17.763703703703705,4th
FDT03,21.25,Low Fat,0.01005532,Meat,183.1608,OUT017,2007,Small,Tier 2,Supermarket Type1,2756.412,FD,12,8.619331764705882,3rd
FDN09,14.15,Low Fat,0.034845668,Snack Foods,242.7828,OUT013,1987,High,Tier 3,Supermarket Type1,3167.8764,FD,32,17.157795053003532,4th
FDJ02,17.2,Regular,0.025162022,Canned,145.9418,OUT035,2004,Small,Tier 2,Supermarket Type1,1765.7016,FD,15,8.484988372093024,3rd
FDN44,12.857645184135976,Low Fat,0.022685222,Fruits and Vegetables,161.592,OUT027,1985,Medium,Tier 3,Supermarket Type3,4314.384,FD,34,12.567775645214997,3rd
FDQ34,10.85,Low Fat,0.162571649,Snack Foods,107.4622,OUT045,2002,Small,Tier 2,Supermarket Type1,529.311,FD,17,9.904350230414746,2nd
FDX31,20.35,Regular,0.014825605,Fruits and Vegetables,233.2958,OUT046,1997,Small,Tier 1,Supermarket Type1,4206.5244,FD,22,11.464167076167076,4th
NCH55,16.35,Non Edible,0.058034349,Household,124.802,OUT010,1998,Small,Tier 3,Grocery Store,253.004,NC,21,7.633149847094801,2nd
DRM47,9.3,Low Fat,0.043785694,Hard Drinks,191.6846,OUT046,1997,Small,Tier 1,Supermarket Type1,3057.3536,DR,22,20.611247311827956,3rd
DRL01,12.857645184135976,Regular,0.076798609,Soft Drinks,231.8958,OUT027,1985,Medium,Tier 3,Supermarket Type3,8413.0488,DR,34,18.035635349940886,4th
FDO12,15.75,Low Fat,0.055241242,Baking Goods,196.5452,OUT017,2007,Small,Tier 2,Supermarket Type1,3131.9232,FD,12,12.479060317460316,3rd
NCK30,14.85,Non Edible,0.061102235,Household,253.2698,OUT045,2002,Small,Tier 2,Supermarket Type1,2283.0282,NC,17,17.055205387205387,4th
FDP16,18.6,Low Fat,0.039517121,Frozen Foods,243.6802,OUT017,2007,Small,Tier 2,Supermarket Type1,5896.3248,FD,12,13.101086021505376,4th
